feature,importance
NDMI__2024-10-20,0.0036157282378137877
NDWI__min,0.0036157213240363504
EVI__2024-01-20,0.0036126915068045197
NDWI__2024-05-08,0.003609947918415332
EVI__2024-08-29,0.0036089400974891246
NDMI__2024-03-17,0.0035938711513627754
NDVI__2024-04-01,0.003593342318997266
NDMI__2024-03-27,0.00358450686228947
NDWI__2024-08-09,0.003581932473959548
NDMI__2024-01-09,0.0035785135408576314
NDWI__2024-04-16,0.0035769923492131417
NDVI__2024-04-16,0.0035752245798171844
EVI__std,0.003573904104767615
NDVI__2024-05-03,0.0035722736694540993
NDMI__2024-02-03,0.0035712120289169915
NDMI__2024-11-27,0.0035557916927896516
NDWI__2024-07-05,0.003554512322833521
NDWI__2024-05-03,0.0035291506228434777
NDMI__2024-01-04,0.0035273758233556607
EVI__2024-03-07,0.0035238285137812707
NDVI__2024-07-20,0.003518391913634513
NDVI__2024-07-05,0.0035160087631658527
NDWI__2024-05-31,0.00351188285387797
NDVI__2024-06-25,0.003510282611951195
EVI__2024-05-26,0.003501542900409795
NDVI__2024-02-03,0.003495103805722184
NDMI__2024-09-05,0.0034932569119978654
NDVI__2024-08-29,0.0034875678886615445
NDVI__2024-07-02,0.0034851212445297765
NDMI__2024-10-03,0.0034830863411341763
NDVI__2024-05-26,0.00348220789456224
NDVI__2024-01-25,0.003461633178694476
NDMI__2024-11-19,0.0034560773674251876
NDMI__2024-09-10,0.0034558812809296936
NDMI__2024-10-30,0.003442302812765185
NDWI__2024-07-20,0.0034415126121509617
NDMI__2024-12-27,0.003433742799561046
EVI__2024-02-04,0.003424886938087502
NDMI__2024-11-22,0.0034188199062369687
NDMI__2024-01-20,0.0034135639187915594
NDWI__2024-08-04,0.003412621469274121
NDWI__max,0.0034093208431357604
NDMI__2024-03-22,0.003408594271373168
NDVI__2024-08-04,0.003402740051054133
NDVI__2024-12-27,0.003398507686075394
NDWI__2024-05-26,0.003398398952960472
NDMI__2024-11-12,0.0033976277652468163
NDMI__2024-01-24,0.003381980149841603
NDVI__2024-07-10,0.0033747123293326373
EVI__2024-10-03,0.003372306391321292
NDWI__2024-01-25,0.0033696430204782613
NDVI__2024-07-17,0.0033691473773364705
NDWI__2024-12-27,0.003367683333698624
NDMI__2024-10-23,0.003346728891237994
NDMI__2024-09-28,0.003341093902674128
EVI__2024-11-22,0.0033382049588256977
NDMI__2024-03-07,0.003335698762876458
NDVI__2024-10-08,0.003334589540468765
NDWI__2024-09-05,0.0033259770805202688
NDVI__2024-10-03,0.0033257087927531636
NDMI__2024-03-04,0.0033234264821377815
NDVI__mean,0.0033222851584847855
EVI__2024-05-23,0.003315785327021993
EVI__2024-10-23,0.003312990625668639
NDWI__2024-08-29,0.0033119999201891813
NDVI__2024-08-01,0.0033001367862850843
EVI__2024-02-03,0.0032913650795944826
NDVI__2024-03-27,0.0032800242913029578
EVI__2024-10-08,0.0032796706235127798
NDWI__2024-07-10,0.003278745090550651
NDVI__2024-11-02,0.003276327276350914
NDVI__2024-09-28,0.0032761402635885692
NDMI__2024-12-24,0.0032610797120213634
NDVI__2024-07-25,0.003259514639065336
NDWI__2024-10-03,0.003252145053239085
EVI__2024-11-27,0.0032513436967570035
NDMI__2024-02-29,0.0032486071164512745
NDVI__2024-03-15,0.0032474041943355778
NDVI__2024-03-07,0.0032458364619448693
NDMI__2024-03-15,0.003243084326559717
NDVI__2024-10-20,0.003236754313409875
EVI__2024-02-11,0.003221219082097267
EVI__mean,0.0032191196139244637
NDWI__2024-09-28,0.003213862538389319
NDVI__2024-11-27,0.003213813193652523
NDWI__2024-11-02,0.0032033553823874687
NDWI__2024-09-10,0.0032021847536090214
NDWI__2024-01-12,0.0031953729231770428
NDWI__2024-10-08,0.003192134368214972
NDWI__2024-01-09,0.003192011176970823
EVI__2024-10-30,0.0031890170053904157
NDVI__2024-01-12,0.0031843182595188463
EVI__2024-11-12,0.0031550267871391113
EVI__2024-09-28,0.0031535051516817804
NDWI__2024-01-04,0.003145621551664961
NDWI__2024-07-17,0.00314552006557236
NDMI__doy_trough,0.0031406049442831738
EVI__2024-12-24,0.00313514142362603
EVI__2024-11-02,0.0031340045112948235
EVI__2024-11-19,0.003123694262320979
NDWI__2024-10-30,0.003114959602961531
NDWI__2024-08-01,0.0031148655245210326
NDVI__2024-09-10,0.0031117431354742145
NDVI__2024-12-24,0.0031025668622031597
NDWI__2024-01-24,0.003099545374382346
NDWI__2024-10-20,0.0030992523320156444
NDVI__2024-10-30,0.003097212873364818
NDWI__2024-02-03,0.0030896825305198722
EVI__2024-02-18,0.0030888140607223456
NDVI__2024-01-20,0.003088247205606585
NDWI__2024-12-24,0.003080695519138487
NDVI__2024-09-05,0.003055781039204169
NDVI__2024-01-04,0.003054778925164649
NDWI__2024-07-25,0.0030535761279974084
NDVI__2024-01-24,0.003048207229456941
NDWI__2024-01-20,0.00304536746645596
EVI__2024-03-04,0.0030282092835163697
NDWI__2024-11-19,0.0030234129848337415
NDWI__2024-11-12,0.003022359297192933
NDWI__2024-11-27,0.003019779135682244
NDWI__2024-03-15,0.003008567419989895
NDVI__2024-01-09,0.003007451883756943
EVI__2024-10-20,0.003005739400432379
NDVI__2024-03-04,0.0029944612841433047
NDVI__2024-02-04,0.0029926585024579702
NDWI__2024-10-23,0.0029860585260609225
EVI__2024-09-10,0.002976118826547282
EVI__2024-02-29,0.002953530931092935
NDWI__2024-11-22,0.002948191233239497
EVI__doy_trough,0.002944453006267001
EVI__2024-09-05,0.0029391131774408634
NDVI__2024-11-19,0.002884574929220497
NDVI__2024-11-22,0.0028488250848661715
NDVI__2024-11-12,0.0028156898820570126
NDWI__2024-03-04,0.0028148780693785487
NDVI__2024-10-23,0.0028123675190310517
NDWI__2024-02-04,0.0028070315655598166
NDVI__2024-02-18,0.0027845123763772686
NDVI__2024-02-11,0.0027233154179863097
NDWI__2024-02-29,0.0026977984074971605
NDVI__2024-02-29,0.002673967794343034
NDWI__2024-02-11,0.0026409275676334454
NDWI__2024-03-07,0.0026203104877091698
NDWI__doy_trough,0.002592339688784665
NDVI__doy_peak,0.0025834579686253656
NDWI__2024-02-18,0.002582262217467212
NDVI__doy_trough,0.0025367123536836683
NDWI__doy_peak,0.0024456043338320177
NDMI__doy_peak,0.002158841428263329
EVI__doy_peak,0.002054096179214975
