date,tile,ID_PARCEL,ndvi_mean,ndvi_median,px_count,cloud_scene
2023-03-16,31TDJ,10017511,0.28520144382721097,0.3009894788265228,203,0.000619
2023-03-16,31TDJ,6291981,0.2091646445424933,0.20278099179267883,19,0.000619
2023-03-16,31TDJ,2828514,0.3720893106962505,0.38556814193725586,76,0.000619
2023-03-16,31TDJ,2851275,0.26966433091597125,0.2389109879732132,11,0.000619
2023-03-16,31TDJ,2851288,0.23140555620193481,0.21971142292022705,8,0.000619
2023-03-16,31TDJ,2888127,0.28330682453356293,0.28665030002593994,57,0.000619
2023-03-16,31TDJ,2906621,0.39208245277404785,0.3907929062843323,16,0.000619
2023-03-16,31TDJ,2944849,0.30708431243896483,0.3086608052253723,25,0.000619
2023-03-16,31TDJ,2945924,0.3069865107536316,0.3069865107536316,2,0.000619
2023-03-16,31TDJ,2976686,0.2791774272918701,0.2791774272918701,2,0.000619
2023-03-16,31TDJ,3024293,0.31045132875442505,0.2939918637275696,48,0.000619
2023-03-16,31TDJ,3032220,0.30305415108090356,0.3038882315158844,42,0.000619
2023-03-16,31TDJ,3041793,0.42311220390852106,0.4200267791748047,172,0.000619
2023-03-16,31TDJ,3053005,0.20961663781142817,0.2090357393026352,41,0.000619
2023-03-16,31TDJ,3055846,0.23168832063674927,0.2311895489692688,8,0.000619
2023-03-16,31TDJ,3065798,0.14278797686326639,0.13826146721839905,263,0.000619
2023-03-16,31TDJ,3069780,0.19855628907680511,0.19854333996772766,4,0.000619
2023-03-16,31TDJ,3072645,0.1909696306501116,0.18579040467739105,105,0.000619
2023-03-16,31TDJ,3097970,0.3303262865221178,0.3230305314064026,37,0.000619
2023-03-16,31TDJ,7266529,0.47548667830650254,0.5295613408088684,99,0.000619
2023-03-16,31TDJ,3108735,0.3413818597793579,0.3499462604522705,40,0.000619
2023-03-16,31TDJ,3162575,0.3060248374938965,0.311670184135437,10,0.000619
2023-03-16,31TDJ,3217653,0.2590986215151273,0.26624128222465515,26,0.000619
2023-03-16,31TDJ,3251125,0.2277970314025879,0.22700604796409607,32,0.000619
2023-03-16,31TDJ,3259310,0.25914318707524514,0.26198747754096985,49,0.000619
2023-03-16,31TDJ,3259594,0.3182846949650691,0.3215707540512085,26,0.000619
2023-03-16,31TDJ,3277067,0.13511147004007643,0.1257651448249817,366,0.000619
2023-03-16,31TDJ,3307074,0.18327445368612966,0.17771227657794952,62,0.000619
2023-03-16,31TDJ,3357683,0.34903860092163086,0.32147639989852905,24,0.000619
2023-03-16,31TDJ,3361351,0.34295460215786044,0.36765241622924805,57,0.000619
2023-03-16,31TDJ,3384506,0.21069552217211043,0.195613831281662,56,0.000619
2023-03-16,31TDJ,3468204,0.2629910508791606,0.270149827003479,24,0.000619
2023-03-16,31TDJ,3484992,0.35637664794921875,0.35541608929634094,42,0.000619
2023-03-16,31TDJ,10019305,0.2815106490562702,0.2824863791465759,232,0.000619
2023-03-16,31TDJ,3517394,0.2667061776825876,0.26369643211364746,33,0.000619
2023-03-16,31TDJ,3549263,0.33987192312876385,0.34904715418815613,3,0.000619
2023-03-16,31TDJ,3554206,0.4294134570706275,0.4556492269039154,93,0.000619
2023-03-16,31TDJ,3568271,0.4012811279296875,0.41246360540390015,50,0.000619
2023-03-16,31TDJ,3586909,0.33187046918002044,0.3271348178386688,11,0.000619
2023-03-16,31TDJ,3602956,0.43286685943603515,0.4120720624923706,80,0.000619
2023-03-16,31TDJ,3612827,0.1979334694998605,0.1890646517276764,84,0.000619
2023-03-16,31TDJ,3617112,0.3143600821495056,0.3143600821495056,2,0.000619
2023-03-16,31TDJ,3628141,0.36873109950575716,0.3726639747619629,43,0.000619
2023-03-16,31TDJ,3637883,0.2938205248688998,0.3001987934112549,73,0.000619
2023-03-16,31TDJ,3655123,0.4149677185785203,0.41713467240333557,84,0.000619
2023-03-16,31TDJ,3678531,0.2504343814987073,0.2617586851119995,139,0.000619
2023-03-16,31TDJ,3709975,0.3853779633839925,0.3852696418762207,18,0.000619
2023-03-16,31TDJ,3712763,0.17618720595901077,0.15881188213825226,37,0.000619
2023-03-16,31TDJ,10019838,0.19041031364380845,0.16409729421138763,127,0.000619
2023-03-16,31TDJ,3731278,0.16626541893761437,0.15922698378562927,222,0.000619
2023-03-16,31TDJ,3739595,0.22330151498317719,0.21605385839939117,4,0.000619
2023-03-16,31TDJ,3773196,0.24069700743022718,0.24119389057159424,76,0.000619
2023-03-16,31TDJ,3791206,0.25258558988571167,0.24673676490783691,6,0.000619
2023-03-16,31TDJ,3791321,0.324277469090053,0.32335346937179565,28,0.000619
2023-03-16,31TDJ,3795224,0.23678130688874618,0.22608554363250732,46,0.000619
2023-03-16,31TDJ,3803937,0.21753651755196707,0.2128514051437378,21,0.000619
2023-03-16,31TDJ,3818879,0.38427387020452236,0.38412290811538696,123,0.000619
2023-03-16,31TDJ,3822463,,,0,0.000619
2023-03-16,31TDJ,3828844,0.2612189395087106,0.2671009600162506,28,0.000619
2023-03-16,31TDJ,3895189,0.3861371782090929,0.3980928659439087,90,0.000619
2023-03-16,31TDJ,3929499,0.25864503767106917,0.24912554025650024,143,0.000619
2023-03-16,31TDJ,3953664,0.2710205614566803,0.2710205614566803,1,0.000619
2023-03-16,31TDJ,3956899,0.2872934341430664,0.2825752794742584,12,0.000619
2023-03-16,31TDJ,3968759,0.2532338176281924,0.2549537718296051,197,0.000619
2023-03-16,31TDJ,10020516,0.20401690141210016,0.19903415441513062,53,0.000619
2023-03-16,31TDJ,4054856,0.16726852598644437,0.14973124861717224,42,0.000619
2023-03-16,31TDJ,10020653,0.09732519586881001,0.36290520429611206,6,0.000619
2023-03-16,31TDJ,10020665,0.27578123410542804,0.26918739080429077,72,0.000619
2023-03-16,31TDJ,4070823,0.18984051139987246,0.16802974045276642,49,0.000619
2023-03-16,31TDJ,4079858,0.2778571546077728,0.2778571546077728,1,0.000619
2023-03-16,31TDJ,4090634,0.27826085686683655,0.27826085686683655,1,0.000619
2023-03-16,31TDJ,4095099,0.3044108748435974,0.3062060475349426,8,0.000619
2023-03-16,31TDJ,4114162,0.14907655139897494,0.1295633465051651,149,0.000619
2023-03-16,31TDJ,4123508,0.14907997846603394,0.14907997846603394,1,0.000619
2023-03-16,31TDJ,4129495,0.009072999159495035,0.1581277698278427,3,0.000619
